;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 20/01/2014 11:48:58
;----------------------------------------------

;Address Opcode 	ASM
0x02BD	0x2024      	CALL       _UART1_Write
;TP_memory.c,181 :: 		UART1_Write(10);
0x02BE	0x300A      	MOVLW      10
0x02BF	0x00E7      	MOVWF      FARG_UART1_Write_data_
0x02C0	0x2024      	CALL       _UART1_Write
;TP_memory.c,182 :: 		}
L_main18:
;TP_memory.c,183 :: 		}
L_main17:
;TP_memory.c,185 :: 		if (good_trame)
0x02C1	0x0849      	MOVF       main_good_trame_L0, 0
0x02C2	0x1903      	BTFSC      STATUS, 2
0x02C3	0x2B51      	GOTO       L_main19
;TP_memory.c,188 :: 		if (counter == 2 && uart_rd != ',')      // lattitude data
0x02C4	0x3000      	MOVLW      0
0x02C5	0x0648      	XORWF      _counter+1, 0
0x02C6	0x1D03      	BTFSS      STATUS, 2
0x02C7	0x2ACA      	GOTO       L__main42
0x02C8	0x3002      	MOVLW      2
0x02C9	0x0647      	XORWF      _counter, 0
L__main42:
0x02CA	0x1D03      	BTFSS      STATUS, 2
0x02CB	0x2ADB      	GOTO       L_main22
0x02CC	0x0846      	MOVF       _uart_rd, 0
0x02CD	0x3A2C      	XORLW      44
0x02CE	0x1903      	BTFSC      STATUS, 2
0x02CF	0x2ADB      	GOTO       L_main22
L__main37:
;TP_memory.c,190 :: 		UART1_Write(uart_rd);
0x02D0	0x0846      	MOVF       _uart_rd, 0
0x02D1	0x00E7      	MOVWF      FARG_UART1_Write_data_
0x02D2	0x2024      	CALL       _UART1_Write
;TP_memory.c,191 :: 		lattitude[lattitude_ptr++] = uart_rd;
0x02D3	0x0823      	MOVF       _lattitude_ptr, 0
0x02D4	0x3E27      	ADDLW      _lattitude
0x02D5	0x0084      	MOVWF      FSR
0x02D6	0x0846      	MOVF       _uart_rd, 0
0x02D7	0x0080      	MOVWF      INDF
0x02D8	0x0AA3      	INCF       _lattitude_ptr, 1
0x02D9	0x1903      	BTFSC      STATUS, 2
0x02DA	0x0AA4      	INCF       _lattitude_ptr+1, 1
;TP_memory.c,192 :: 		}
L_main22:
;TP_memory.c,194 :: 		if (counter == 3 && uart_rd != ',')      // lattitude hemisphere indicator (N or S)
0x02DB	0x3000      	MOVLW      0
0x02DC	0x0648      	XORWF      _counter+1, 0
0x02DD	0x1D03      	BTFSS      STATUS, 2
0x02DE	0x2AE1      	GOTO       L__main43
0x02DF	0x3003      	MOVLW      3
0x02E0	0x0647      	XORWF      _counter, 0
L__main43:
0x02E1	0x1D03      	BTFSS      STATUS, 2
0x02E2	0x2AF9      	GOTO       L_main25
0x02E3	0x0846      	MOVF       _uart_rd, 0
0x02E4	0x3A2C      	XORLW      44
0x02E5	0x1903      	BTFSC      STATUS, 2
0x02E6	0x2AF9      	GOTO       L_main25
L__main36:
;TP_memory.c,196 :: 		UART1_Write(uart_rd);
0x02E7	0x0846      	MOVF       _uart_rd, 0
0x02E8	0x00E7      	MOVWF      FARG_UART1_Write_data_
0x02E9	0x2024      	CALL       _UART1_Write
;TP_memory.c,197 :: 		lattitude[lattitude_ptr++] = uart_rd;
0x02EA	0x0823      	MOVF       _lattitude_ptr, 0
0x02EB	0x3E27      	ADDLW      _lattitude
0x02EC	0x0084      	MOVWF      FSR
0x02ED	0x0846      	MOVF       _uart_rd, 0
0x02EE	0x0080      	MOVWF      INDF
0x02EF	0x0AA3      	INCF       _lattitude_ptr, 1
0x02F0	0x1903      	BTFSC      STATUS, 2
0x02F1	0x0AA4      	INCF       _lattitude_ptr+1, 1
;TP_memory.c,198 :: 		lattitude[lattitude_ptr++] = '\0';
0x02F2	0x0823      	MOVF       _lattitude_ptr, 0
0x02F3	0x3E27      	ADDLW      _lattitude
0x02F4	0x0084      	MOVWF      FSR
0x02F5	0x0180      	CLRF       INDF
0x02F6	0x0AA3      	INCF       _lattitude_ptr, 1
0x02F7	0x1903      	BTFSC      STATUS, 2
0x02F8	0x0AA4      	INCF       _lattitude_ptr+1, 1
;TP_memory.c,199 :: 		}
L_main25:
;TP_memory.c,201 :: 		if (counter == 4 && uart_rd != ',')      // longitude data
0x02F9	0x3000      	MOVLW      0
0x02FA	0x0648      	XORWF      _counter+1, 0
0x02FB	0x1D03      	BTFSS      STATUS, 2
0x02FC	0x2AFF      	GOTO       L__main44
0x02FD	0x3004      	MOVLW      4
0x02FE	0x0647      	XORWF      _counter, 0
L__main44:
0x02FF	0x1D03      	BTFSS      STATUS, 2
0x0300	0x2B10      	GOTO       L_main28
0x0301	0x0846      	MOVF       _uart_rd, 0
0x0302	0x3A2C      	XORLW      44
0x0303	0x1903      	BTFSC      STATUS, 2
0x0304	0x2B10      	GOTO       L_main28
L__main35:
;TP_memory.c,203 :: 		UART1_Write(uart_rd);
0x0305	0x0846      	MOVF       _uart_rd, 0
0x0306	0x00E7      	MOVWF      FARG_UART1_Write_data_
0x0307	0x2024      	CALL       _UART1_Write
;TP_memory.c,204 :: 		longitude[longitude_ptr++] = uart_rd;
0x0308	0x0821      	MOVF       _longitude_ptr, 0
0x0309	0x3E37      	ADDLW      _longitude
0x030A	0x0084      	MOVWF      FSR
0x030B	0x0846      	MOVF       _uart_rd, 0
0x030C	0x0080      	MOVWF      INDF
0x030D	0x0AA1      	INCF       _longitude_ptr, 1
0x030E	0x1903      	BTFSC      STATUS, 2
0x030F	0x0AA2      	INCF       _longitude_ptr+1, 1
;TP_memory.c,205 :: 		}
L_main28:
;TP_memory.c,207 :: 		if (counter == 5 && uart_rd != ',')      //   longitude hemisphere indicator (E or W)
0x0310	0x3000      	MOVLW      0
0x0311	0x0648      	XORWF      _counter+1, 0
0x0312	0x1D03      	BTFSS      STATUS, 2
0x0313	0x2B16      	GOTO       L__main45
0x0314	0x3005      	MOVLW      5
0x0315	0x0647      	XORWF      _counter, 0
L__main45:
0x0316	0x1D03      	BTFSS      STATUS, 2
0x0317	0x2B2E      	GOTO       L_main31
0x0318	0x0846      	MOVF       _uart_rd, 0
0x0319	0x3A2C      	XORLW      44
0x031A	0x1903      	BTFSC      STATUS, 2
0x031B	0x2B2E      	GOTO       L_main31
L__main34:
;TP_memory.c,209 :: 		UART1_Write(uart_rd);
0x031C	0x0846      	MOVF       _uart_rd, 0
0x031D	0x00E7      	MOVWF      FARG_UART1_Write_data_
0x031E	0x2024      	CALL       _UART1_Write
;TP_memory.c,210 :: 		longitude[longitude_ptr++] = uart_rd;
0x031F	0x0821      	MOVF       _longitude_ptr, 0
0x0320	0x3E37      	ADDLW      _longitude
0x0321	0x0084      	MOVWF      FSR
0x0322	0x0846      	MOVF       _uart_rd, 0
0x0323	0x0080      	MOVWF      INDF
0x0324	0x0AA1      	INCF       _longitude_ptr, 1
0x0325	0x1903      	BTFSC      STATUS, 2
0x0326	0x0AA2      	INCF       _longitude_ptr+1, 1
;TP_memory.c,211 :: 		longitude[longitude_ptr++] = '\0';
0x0327	0x0821      	MOVF       _longitude_ptr, 0
0x0328	0x3E37      	ADDLW      _longitude
0x0329	0x0084      	MOVWF      FSR
0x032A	0x0180      	CLRF       INDF
0x032B	0x0AA1      	INCF       _longitude_ptr, 1
0x032C	0x1903      	BTFSC      STATUS, 2
0x032D	0x0AA2      	INCF       _longitude_ptr+1, 1
;TP_memory.c,212 :: 		}
L_main31:
;TP_memory.c,214 :: 		if (uart_rd == '*')
0x032E	0x0846      	MOVF       _uart_rd, 0
0x032F	0x3A2A      	XORLW      42
0x0330	0x1D03      	BTFSS      STATUS, 2
0x0331	0x2B51      	GOTO       L_main32
;TP_memory.c,216 :: 		Data_Write(lattitude,longitude);
0x0332	0x3027      	MOVLW      _lattitude
0x0333	0x00CB      	MOVWF      FARG_Data_Write_lattitude
0x0334	0x3037      	MOVLW      _longitude
0x0335	0x00CC      	MOVWF      FARG_Data_Write_longitude
0x0336	0x2199      	CALL       _Data_Write
;TP_memory.c,218 :: 		Delay_ms(250);
0x0337	0x3003      	MOVLW      3
0x0338	0x00FB      	MOVWF      R11
0x0339	0x308A      	MOVLW      138
0x033A	0x00FC      	MOVWF      R12
0x033B	0x3055      	MOVLW      85
0x033C	0x00FD      	MOVWF      R13
L_main33:
0x033D	0x0BFD      	DECFSZ     R13, 1
0x033E	0x2B3D      	GOTO       L_main33
0x033F	0x0BFC      	DECFSZ     R12, 1
0x0340	0x2B3D      	GOTO       L_main33
0x0341	0x0BFB      	DECFSZ     R11, 1
0x0342	0x2B3D      	GOTO       L_main33
0x0343	0x0000      	NOP
0x0344	0x0000      	NOP
;TP_memory.c,220 :: 		UART1_Write(13);
0x0345	0x300D      	MOVLW      13
0x0346	0x00E7      	MOVWF      FARG_UART1_Write_data_
0x0347	0x2024      	CALL       _UART1_Write
;TP_memory.c,221 :: 		UART1_Write(10);
0x0348	0x300A      	MOVLW      10
0x0349	0x00E7      	MOVWF      FARG_UART1_Write_data_
0x034A	0x2024      	CALL       _UART1_Write
;TP_memory.c,222 :: 		UART1_Write_Text(Data_Eeprom_Read(0));
0x034B	0x01CB      	CLRF       FARG_Data_Eeprom_Read_item
0x034C	0x01CC      	CLRF       FARG_Data_Eeprom_Read_item+1
0x034D	0x214A      	CALL       _Data_Eeprom_Read
0x034E	0x0870      	MOVF       R0, 0
0x034F	0x00CB      	MOVWF      FARG_UART1_Write_Text_uart_text
0x0350	0x2183      	CALL       _UART1_Write_Text
;TP_memory.c,230 :: 		}
L_main32:
;TP_memory.c,231 :: 		}
L_main19:
;TP_memory.c,233 :: 		}
L_main11:
;TP_memory.c,235 :: 		}
0x0351	0x2A80      	GOTO       L_main9
;TP_memory.c,236 :: 		}
0x0352	0x2B52      	GOTO       $+0
; end of _main
Symbol List:
//** Routines locations **
//ADDRESS    SIZE    PROCEDURE
//----------------------------------------------
0x0003      [33]    _EEPROM_Write
0x0024      [10]    _UART1_Write
0x002E      [12]    _EEPROM_Read
0x003A      [25]    _Mul_8x8_U
0x0053       [7]    _____DoICP
0x005A      [16]    _I2C1_Is_Idle
0x006A      [13]    _Delay_5500us
0x0077      [26]    _Data_Eeprom_Write
0x0091       [3]    _Delay_1us
0x0094       [7]    _Delay_50us
0x009B      [22]    _I2C1_Wr
0x00B1       [7]    _I2C1_Repeated_Start
0x00B8      [64]    _Lcd_Cmd
0x00F8       [7]    _UART1_Data_Ready
0x00FF      [16]    _UART1_Init
0x010F      [16]    _Delay_100ms
0x011F      [31]    _I2C1_Rd
0x013E      [12]    ___CC2DW
0x014A      [57]    _Data_Eeprom_Read
0x0183      [22]    _UART1_Write_Text
0x0199       [9]    _Data_Write
0x01A2       [4]    _I2C1_Stop
0x01A6      [41]    _I2C1_Start
0x01CF      [78]    _Lcd_Init
0x021D      [11]    _UART1_Read
0x0228      [10]    _I2C1_Init
0x0232     [289]    _main
//** Variables locations ** 
//ADDRESS    SIZE    VARIABLE
//----------------------------------------------
0x0000       [1]    INDF
0x0001       [1]    TMR0
0x0002       [1]    PCL
0x0003       [0]    Z_bit
0x0003       [0]    RP0_bit
0x0003       [0]    C_bit
0x0003       [1]    STATUS
0x0003       [0]    NOT_TO_bit
0x0003       [0]    DC_bit
0x0003       [0]    IRP_bit
0x0003       [0]    NOT_PD_bit
0x0003       [0]    RP1_bit
0x0004       [1]    FSR
0x0004       [1]    FSRPTR
0x0005       [1]    PORTA
0x0005       [0]    RA0_bit
0x0005       [0]    RA1_bit
0x0005       [0]    RA2_bit
0x0005       [0]    RA3_bit
0x0005       [0]    RA5_bit
0x0005       [0]    RA4_bit
0x0006       [0]    RB7_bit
0x0006       [0]    RB6_bit
0x0006       [0]    LCD_D7
0x0006       [0]    LCD_EN
0x0006       [0]    LCD_D6
0x0006       [1]    PORTB
0x0006       [0]    RB0_bit
0x0006       [0]    LCD_RS
0x0006       [0]    LCD_D5
0x0006       [0]    LCD_D4
0x0006       [0]    RB1_bit
0x0006       [0]    RB4_bit
0x0006       [0]    RB5_bit
0x0006       [0]    RB2_bit
0x0006       [0]    RB3_bit
0x0007       [0]    RC5_bit
0x0007       [0]    RC4_bit
0x0007       [0]    RC7_bit
0x0007       [0]    RC6_bit
0x0007       [0]    RC1_bit
0x0007       [0]    RC0_bit
0x0007       [0]    RC3_bit
0x0007       [0]    RC2_bit
0x0007       [1]    PORTC
0x0008       [0]    RD6_bit
0x0008       [0]    RD2_bit
0x0008       [0]    RD3_bit
0x0008       [0]    RD7_bit
0x0008       [0]    RD1_bit
0x0008       [1]    PORTD
0x0008       [0]    RD4_bit
0x0008       [0]    RD5_bit
0x0008       [0]    RD0_bit
0x0009       [0]    RE0_bit
0x0009       [1]    PORTE
0x0009       [0]    RE1_bit
0x0009       [0]    RE2_bit
0x000A       [1]    PCLATH
0x000B       [0]    RBIF_bit
0x000B       [0]    RBIE_bit
0x000B       [0]    T0IF_bit
0x000B       [1]    INTCON
0x000B       [0]    PEIE_bit
0x000B       [0]    GIE_bit
0x000B       [0]    INTE_bit
0x000B       [0]    INTF_bit
0x000B       [0]    TMR0IE_bit
0x000B       [0]    TMR0IF_bit
0x000B       [0]    T0IE_bit
0x000C       [0]    ADIF_bit
0x000C       [0]    CCP1IF_bit
0x000C       [0]    PSPIF_bit
0x000C       [0]    TMR2IF_bit
0x000C       [1]    PIR1
0x000C       [0]    SSPIF_bit
0x000C       [0]    TMR1IF_bit
0x000C       [0]    RCIF_bit
0x000C       [0]    TXIF_bit
0x000D       [1]    PIR2
0x000D       [0]    CMIF_bit
0x000D       [0]    EEIF_bit
0x000D       [0]    BCLIF_bit
0x000D       [0]    CCP2IF_bit
0x000E       [1]    TMR1L
0x000F       [1]    TMR1H
0x0010       [0]    NOT_T1SYNC_bit
0x0010       [1]    T1CON
0x0010       [0]    TMR1CS_bit
0x0010       [0]    T1OSCEN_bit
0x0010       [0]    T1INSYNC_bit
0x0010       [0]    T1CKPS0_bit
0x0010       [0]    T1CKPS1_bit
0x0010       [0]    T1SYNC_bit
0x0010       [0]    TMR1ON_bit
0x0011       [1]    TMR2
0x0012       [0]    TOUTPS0_bit
0x0012       [0]    T2CKPS1_bit
0x0012       [0]    TMR2ON_bit
0x0012       [0]    TOUTPS2_bit
0x0012       [0]    TOUTPS3_bit
0x0012       [0]    TOUTPS1_bit
0x0012       [0]    T2CKPS0_bit
0x0012       [1]    T2CON
0x0013       [1]    SSPBUF
0x0014       [0]    SSPM0_bit
0x0014       [1]    SSPCON
0x0014       [0]    SSPM3_bit
0x0014       [0]    SSPM1_bit
0x0014       [0]    SSPOV_bit
0x0014       [0]    SSPEN_bit
0x0014       [0]    CKP_bit
0x0014       [0]    WCOL_bit
0x0014       [0]    SSPM2_bit
0x0015       [1]    CCPR1L
0x0015       [2]    CCPR1
0x0016       [1]    CCPR1H
0x0017       [0]    CCP1M0_bit
0x0017       [0]    CCP1M1_bit
0x0017       [0]    CCP1M3_bit
0x0017       [0]    CCP1Y_bit
0x0017       [1]    CCP1CON
0x0017       [0]    CCP1X_bit
0x0017       [0]    CCP1M2_bit
0x0018       [0]    RCD8_bit
0x0018       [0]    FERR_bit
0x0018       [0]    ADDEN_bit
0x0018       [0]    RC9_bit
0x0018       [0]    OERR_bit
0x0018       [0]    SPEN_bit
0x0018       [0]    RC8_9_bit
0x0018       [0]    SREN_bit
0x0018       [0]    NOT_RC8_bit
0x0018       [0]    CREN_bit
0x0018       [1]    RCSTA
0x0018       [0]    RX9D_bit
0x0018       [0]    RX9_bit
0x0019       [1]    TXREG
0x001A       [1]    RCREG
0x001B       [1]    CCPR2L
0x001B       [2]    CCPR2
0x001C       [1]    CCPR2H
0x001D       [0]    CCP2Y_bit
0x001D       [0]    CCP2M2_bit
0x001D       [1]    CCP2CON
0x001D       [0]    CCP2M1_bit
0x001D       [0]    CCP2M0_bit
0x001D       [0]    CCP2X_bit
0x001D       [0]    CCP2M3_bit
0x001E       [1]    ADRESH
0x001F       [0]    CHS0_bit
0x001F       [0]    CHS1_bit
0x001F       [0]    NOT_DONE_bit
0x001F       [1]    ADCON0
0x001F       [0]    ADCS0_bit
0x001F       [0]    GO_DONE_bit
0x001F       [0]    CHS2_bit
0x001F       [0]    GO_bit
0x001F       [0]    ADCS1_bit
0x001F       [0]    ADON_bit
0x0020       [1]    _adresse
0x0021       [2]    _longitude_ptr
0x0023       [2]    _lattitude_ptr
0x0025       [2]    ___DoICPAddr
0x0027      [15]    _lattitude
0x0036       [0]    __Lib_Lcd_cmd_status
0x0037      [15]    _longitude
0x0046       [1]    _uart_rd
0x0047       [2]    _counter
0x0049       [1]    main_good_trame_L0
0x004A       [1]    main_g_counter_L0
0x004B       [2]    FARG_Data_Eeprom_Read_item
0x004B       [2]    I2C1_Start_j_L0
0x004B       [1]    FARG_Data_Write_lattitude
0x004B       [4]    FARG_I2C1_Init_clock
0x004B       [1]    FARG_UART1_Write_Text_uart_text
0x004B       [1]    FARG_I2C1_Rd_ack
0x004B       [1]    FARG_Lcd_Cmd_out_char
0x004B       [1]    FARG_I2C1_Wr_data_
0x004C       [1]    UART1_Write_Text_data__L0
0x004C       [1]    FARG_Data_Write_longitude
0x004D       [2]    Data_Eeprom_Read_indice_L0
0x004D       [1]    UART1_Write_Text_counter_L0
0x004F      [22]    Data_Eeprom_Read_donnees_L0
0x0065       [1]    Data_Eeprom_Read_address_L0
0x0066       [1]    FLOC__Data_Eeprom_Read
0x0067       [1]    FARG_UART1_Write_data_
0x0067       [1]    FARG_Data_Eeprom_Write_donnees
0x0067       [1]    FARG_EEPROM_Read_Address
0x0068       [1]    Data_Eeprom_Write_indice_L0
0x0069       [1]    FARG_EEPROM_Write_Address
0x006A       [1]    FARG_EEPROM_Write_data_
0x0070       [1]    R0
0x0071       [1]    R1
0x0072       [1]    R2
0x0073       [1]    R3
0x0074       [1]    R4
0x0075       [1]    R5
0x0076       [1]    R6
0x0077       [1]    R7
0x0078       [1]    R8
0x0079       [1]    R9
0x007A       [1]    R10
0x007B       [1]    R11
0x007C       [1]    R12
0x007D       [1]    R13
0x007E       [1]    R14
0x007F       [1]    R15
0x0081       [0]    PS1_bit
0x0081       [0]    PS0_bit
0x0081       [0]    PS2_bit
0x0081       [0]    INTEDG_bit
0x0081       [0]    PSA_bit
0x0081       [0]    T0SE_bit
0x0081       [1]    OPTION_REG
0x0081       [0]    T0CS_bit
0x0081       [0]    NOT_RBPU_bit
0x0085       [0]    TRISA0_bit
0x0085       [0]    TRISA1_bit
0x0085       [0]    TRISA4_bit
0x0085       [0]    TRISA3_bit
0x0085       [0]    TRISA5_bit
0x0085       [0]    TRISA2_bit
0x0085       [1]    TRISA
0x0086       [0]    TRISB2_bit
0x0086       [0]    TRISB6_bit
0x0086       [0]    TRISB3_bit
0x0086       [0]    TRISB5_bit
0x0086       [0]    LCD_D5_Direction
0x0086       [0]    LCD_D4_Direction
0x0086       [0]    TRISB7_bit
0x0086       [0]    TRISB1_bit
0x0086       [0]    TRISB0_bit
0x0086       [0]    TRISB4_bit
0x0086       [1]    TRISB
0x0086       [0]    LCD_RS_Direction
0x0086       [0]    LCD_D6_Direction
0x0086       [0]    LCD_EN_Direction
0x0086       [0]    LCD_D7_Direction
0x0087       [0]    TRISC4_bit
0x0087       [0]    TRISC7_bit
0x0087       [0]    TRISC6_bit
0x0087       [0]    TRISC5_bit
0x0087       [0]    TRISC0_bit
0x0087       [1]    TRISC
0x0087       [0]    TRISC1_bit
0x0087       [0]    TRISC3_bit
0x0087       [0]    TRISC2_bit
0x0088       [0]    TRISD5_bit
0x0088       [0]    TRISD4_bit
0x0088       [0]    TRISD7_bit
0x0088       [0]    TRISD6_bit
0x0088       [0]    TRISD3_bit
0x0088       [0]    TRISD0_bit
0x0088       [1]    TRISD
0x0088       [0]    TRISD2_bit
0x0088       [0]    TRISD1_bit
0x0089       [0]    PSPMODE_bit
0x0089       [0]    PSPMODE_TRISE_bit
0x0089       [0]    IBOV_TRISE_bit
0x0089       [0]    OBF_bit
0x0089       [0]    OBF_TRISE_bit
0x0089       [1]    TRISE
0x0089       [0]    IBF_TRISE_bit
0x0089       [0]    TRISE2_bit
0x0089       [0]    IBF_bit
0x0089       [0]    TRISE1_bit
0x0089       [0]    IBOV_bit
0x0089       [0]    TRISE0_bit
0x008C       [0]    ADIE_bit
0x008C       [0]    TMR2IE_bit
0x008C       [0]    PSPIE_bit
0x008C       [0]    TMR1IE_bit
0x008C       [0]    CCP1IE_bit
0x008C       [1]    PIE1
0x008C       [0]    RCIE_bit
0x008C       [0]    TXIE_bit
0x008C       [0]    SSPIE_bit
0x008D       [0]    EEIE_bit
0x008D       [0]    BCLIE_bit
0x008D       [1]    PIE2
0x008D       [0]    CCP2IE_bit
0x008D       [0]    CMIE_bit
0x008E       [0]    NOT_BO_bit
0x008E       [0]    NOT_POR_bit
0x008E       [0]    NOT_BOR_bit
0x008E       [1]    PCON
0x0091       [0]    GCEN_bit
0x0091       [0]    ACKSTAT_bit
0x0091       [0]    RSEN_bit
0x0091       [0]    ACKEN_bit
0x0091       [0]    SEN_bit
0x0091       [0]    PEN_bit
0x0091       [0]    RCEN_bit
0x0091       [1]    SSPCON2
0x0091       [0]    ACKDT_bit
0x0092       [1]    PR2
0x0093       [1]    SSPADD
0x0094       [1]    SSPSTAT
0x0094       [0]    BF_bit
0x0094       [0]    R_W_bit
0x0094       [0]    UA_bit
0x0094       [0]    I2C_DATA_bit
0x0094       [0]    R_bit
0x0094       [0]    D_A_bit
0x0094       [0]    READ_WRITE_bit
0x0094       [0]    DATA_ADDRESS_bit
0x0094       [0]    D_bit
0x0094       [0]    P_bit
0x0094       [0]    NOT_ADDRESS_bit
0x0094       [0]    NOT_WRITE_bit
0x0094       [0]    NOT_W_bit
0x0094       [0]    I2C_START__bit
0x0094       [0]    I2C_READ_bit
0x0094       [0]    NOT_A_bit
0x0094       [0]    I2C_STOP__bit
0x0094       [0]    S_bit
0x0094       [0]    CKE_bit
0x0094       [0]    SMP_bit
0x0098       [0]    TX9_bit
0x0098       [0]    BRGH_bit
0x0098       [0]    TX9D_bit
0x0098       [0]    TXEN_bit
0x0098       [1]    TXSTA
0x0098       [0]    CSRC_bit
0x0098       [0]    TXD8_bit
0x0098       [0]    TRMT_bit
0x0098       [0]    NOT_TX8_bit
0x0098       [0]    SYNC_bit
0x0098       [0]    TX8_9_bit
0x0099       [1]    SPBRG
0x009C       [0]    C1OUT_bit
0x009C       [0]    CM1_bit
0x009C       [0]    CM0_bit
0x009C       [0]    C2OUT_bit
0x009C       [0]    CIS_bit
0x009C       [0]    C2INV_bit
0x009C       [1]    CMCON
0x009C       [0]    CM2_bit
0x009C       [0]    C1INV_bit
0x009D       [0]    CVREN_bit
0x009D       [0]    CVROE_bit
0x009D       [0]    CVRR_bit
0x009D       [0]    CVR1_bit
0x009D       [0]    CVR2_bit
0x009D       [0]    CVR3_bit
0x009D       [0]    CVR0_bit
0x009D       [1]    CVRCON
0x009E       [1]    ADRESL
0x009F       [0]    PCFG2_bit
0x009F       [0]    PCFG3_bit
0x009F       [0]    PCFG1_bit
0x009F       [1]    ADCON1
0x009F       [0]    PCFG0_bit
0x009F       [0]    ADCS2_bit
0x009F       [0]    ADFM_bit
0x010C       [1]    EEDATA
0x010D       [1]    EEADR
0x010E       [1]    EEDATH
0x010F       [1]    EEADRH
0x018C       [0]    RD_bit
0x018C       [0]    WR_bit
0x018C       [1]    EECON1
0x018C       [0]    EEPGD_bit
0x018C       [0]    WRERR_bit
0x018C       [0]    WREN_bit
0x018D       [1]    EECON2
//** Label List: ** 
//----------------------------------------------
  L_Data_Eeprom_Write0
  L_Data_Eeprom_Write1
  L_Data_Eeprom_Read2
  L_Data_Eeprom_Read3
  L_Data_Eeprom_Read4
  L_Data_Eeprom_Read5
  L_Data_I2C_EEPROM_Write6
  L_Data_I2C_EEPROM_Write7
  L_main8
  L_main9
  L_main10
  L_main11
  L_main12
  L_main13
  L_main14
  L_main15
  L_main16
  L_main17
  L_main18
  L_main19
  L_main20
  L_main21
  L_main22
  L_main23
  L_main24
  L_main25
  L_main26
  L_main27
  L_main28
  L_main29
  L_main30
  L_main31
  L_main32
  L_main33
  L__main34
  L__main35
  L__main36
  L__main37
  L__main38
  _Data_Eeprom_Write
  _Data_Write
  _Data_Eeprom_Read
  L__Data_Eeprom_Read39
  _Data_I2C_EEPROM_Write
  _main
  L__main40
  L__main41
  L__main42
  L__main43
  L__main44
  L__main45
  L_Delay_10us0
  L_Delay_22us1
  L_Delay_50us2
  L_Delay_80us3
  L_Delay_500us4
  L_Delay_5500us5
  L_Delay_1ms6
  L_Delay_5ms7
  L_Delay_8ms8
  L_Delay_10ms9
  L_Delay_100ms10
  L_Delay_1sec11
  L_boot16_Delay_5ms12
  L_Delay_Cyc13
  L_Delay_Cyc14
  L_VDelay_ms15
  L_VDelay_ms16
  L_VDelay_ms17
  L_VDelay_Advanced_ms18
  L_VDelay_Advanced_ms19
  L_VDelay_Advanced_ms20
  _Get_Fosc_kHz
  _Delay_1us
  _Delay_10us
  _Delay_22us
  _Delay_50us
  _Delay_80us
  _Delay_500us
  _Delay_5500us
  _Delay_1ms
  _Delay_5ms
  _Delay_8ms
  _Delay_10ms
  _Delay_100ms
  _Delay_1sec
  _boot16_Delay_5ms
  _Delay_Cyc
  _VDelay_ms
  L__VDelay_ms21
  L__VDelay_ms22
  L__VDelay_ms23
  _VDelay_Advanced_ms
  L__VDelay_Advanced_ms24
  L__VDelay_Advanced_ms25
  L__VDelay_Advanced_ms26
  L_EEPROM_Write0
  L_EEPROM_Write1
  _EEPROM_Read
  _EEPROM_Write
  L__EEPROM_Write2
  L__EEPROM_Write3
  L_I2C1_Is_Idle0
  L_I2C1_Is_Idle1
  L_I2C1_Start2
  L_I2C1_Start3
  L_I2C1_Start4
  L_I2C1_Start5
  L_I2C1_Start6
  L_I2C1_Start7
  L_I2C1_Start8
  L_I2C1_Start9
  L_I2C1_Repeated_Start10
  L_I2C1_Repeated_Start11
  L_I2C1_Rd12
  L_I2C1_Rd13
  L_I2C1_Rd14
  L_I2C1_Rd15
  L_I2C1_Rd16
  L_I2C1_Rd17
  L_I2C1_Wr18
  L_I2C1_Wr19
  L_I2C1_Wr20
  L_I2C1_Wr21
  L_I2C1_Wr22
  L_I2C1_Wr23
  _I2C1_Init
  _I2C1_Is_Idle
  _I2C1_Start
  L__I2C1_Start24
  L__I2C1_Start25
  _I2C1_Repeated_Start
  _I2C1_Rd
  _I2C1_Wr
  _I2C1_Stop
  L_Lcd_Cmd0
  L_Lcd_Cmd1
  L_Lcd_Out_CP2
  L_Lcd_Out_CP3
  L_Lcd_Chr4
  L_Lcd_Chr5
  L_Lcd_Chr6
  L_Lcd_Chr7
  L_Lcd_Chr8
  L_Lcd_Chr9
  L_Lcd_Chr10
  L_Lcd_Out11
  L_Lcd_Out12
  L_Lcd_Out13
  L_Lcd_Out14
  L_Lcd_Out15
  L_Lcd_Out16
  L_Lcd_Out17
  L_Lcd_Out18
  L_Lcd_Out19
  _Lcd_Cmd
  L__Lcd_Cmd20
  L__Lcd_Cmd21
  L__Lcd_Cmd22
  L__Lcd_Cmd23
  L__Lcd_Cmd24
  L__Lcd_Cmd25
  L__Lcd_Cmd26
  L__Lcd_Cmd27
  L__Lcd_Cmd28
  L__Lcd_Cmd29
  L__Lcd_Cmd30
  L__Lcd_Cmd31
  L__Lcd_Cmd32
  L__Lcd_Cmd33
  L__Lcd_Cmd34
  L__Lcd_Cmd35
  L__Lcd_Cmd36
  L__Lcd_Cmd37
  L__Lcd_Cmd38
  L__Lcd_Cmd39
  _Lcd_Chr_CP
  _Lcd_Out_CP
  _Lcd_Chr
  _Lcd_Init
  _Lcd_Out
  L_Div_16x16_S0
  L_Div_16x16_S1
  LOOPS3232A
  SADD22LA
  SOK22LA
  SADD22L8
  SOK22L8
  LOOPS3232B
  SADD22LB
  SOK22LB
